City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-23.33,79,7,2.15,RU,1711847365
1,avarua,-21.2078,-159.775,31.03,74,75,4.12,CK,1711847366
2,rio grande,-32.035,-52.0986,21.81,85,0,2.26,BR,1711847290
3,nar'yan-mar,67.6713,53.087,-15.5,93,75,3.13,RU,1711847366
4,thompson,55.7435,-97.8558,-8.29,93,100,3.17,CA,1711847351
5,keflavik,64.0049,-22.5624,-1.76,69,20,11.32,IS,1711847367
6,jiangyou,31.7667,104.7167,19.57,64,2,1.09,CN,1711847081
7,suva,-18.1416,178.4415,28.71,79,75,1.03,FJ,1711847368
8,shats'k,51.5021,23.9381,12.71,78,4,3.9,UA,1711847369
9,kyren,51.6828,102.1408,-0.03,93,92,1.34,RU,1711847369
10,ulladulla,-35.35,150.4667,22.57,67,11,2.32,AU,1711847370
11,olonkinbyen,70.9221,-8.7187,-5.82,63,100,8.77,SJ,1711847370
12,bamboo flat,11.7,92.7167,27.05,89,40,0.51,IN,1711847371
13,cabo san lucas,22.8909,-109.9124,28.61,67,100,5.36,MX,1711846770
14,ilulissat,69.2167,-51.1,-8.99,73,20,0.0,GL,1711847372
15,bredasdorp,-34.5322,20.0403,19.63,66,7,1.83,ZA,1711847333
16,waitangi,-43.9535,-176.5597,16.01,96,100,1.79,NZ,1711847325
17,hopkinsville,36.8656,-87.4886,21.97,73,87,3.54,US,1711847343
18,prince george,53.9166,-122.753,7.36,48,99,0.45,CA,1711847278
19,waveland,30.2869,-89.3762,21.03,82,0,3.09,US,1711847373
20,tazovsky,67.4667,78.7,-14.8,93,100,7.79,RU,1711847374
21,stephenville,32.2207,-98.2023,22.91,76,40,5.14,US,1711847213
22,grytviken,-54.2811,-36.5092,0.37,81,23,5.48,GS,1711847375
23,blackmans bay,-43.0167,147.3167,17.07,79,65,1.31,AU,1711847375
24,whitehorse,60.7161,-135.0538,5.17,48,100,8.49,CA,1711847308
25,punta arenas,-53.15,-70.9167,7.06,81,75,10.29,CL,1711847376
